time/fs 	 energy/h 	 kin energy/h 	 thermostat/h 	 SumE/h 	 T/K 
6.58500000e+02	-1.06787574e+03	6.22646528e-02	-2.05278830e-02	-1067.896267883	327.69370470491526
6.59000000e+02	-1.06787474e+03	6.20868360e-02	-2.13365360e-02	-1067.896076536	326.75786963107424
6.59500000e+02	-1.06787453e+03	5.94907857e-02	-1.89506212e-02	-1067.8934806212	313.09507216651815
6.60000000e+02	-1.06787511e+03	5.43866812e-02	-1.32817069e-02	-1067.8883917069	286.23259341507423
6.60500000e+02	-1.06787630e+03	4.73758154e-02	-5.10701927e-03	-1067.88140701927	249.33498805026946
6.61000000e+02	-1.06787785e+03	4.17945037e-02	2.00431593e-03	-1067.87584568407	219.96100737521962
6.61500000e+02	-1.06787955e+03	4.01475704e-02	5.31579866e-03	-1067.8742342013402	211.29333398093559
6.62000000e+02	-1.06788118e+03	4.39337591e-02	3.13768379e-03	-1067.87804231621	231.21973115848294
6.62500000e+02	-1.06788249e+03	5.76006126e-02	-9.22827337e-03	-1067.8917182733699	303.14724787426456
6.63000000e+02	-1.06788297e+03	6.68922593e-02	-1.80178281e-02	-1067.9009878281	352.0484139935463
6.63500000e+02	-1.06788236e+03	6.63267047e-02	-1.80432709e-02	-1067.9004032709001	349.0719470295017
6.64000000e+02	-1.06788105e+03	6.05243855e-02	-1.35157914e-02	-1067.8945657914	318.53482220788123
6.64500000e+02	-1.06787973e+03	5.41087882e-02	-8.38668352e-03	-1067.8881166835201	284.77006559894613
6.65000000e+02	-1.06787897e+03	5.04128549e-02	-5.44079545e-03	-1067.88441079545	265.31867510762606
6.65500000e+02	-1.06787902e+03	5.04162145e-02	-5.39029579e-03	-1067.88441029579	265.33635640384824
6.66000000e+02	-1.06787988e+03	5.44370539e-02	-8.57371342e-03	-1067.88845371342	286.49770075827286
6.66500000e+02	-1.06788124e+03	6.37893427e-02	-1.65911782e-02	-1067.8978311782	335.7180212214151
